"코드.번호","CODE","회사명","업종.대.","업종.소.","코스피코스닥","국내여부"
"A009470",9470,"삼화전기","IT 장비 및 소재","콘덴서","코스피",1
"A061040",61040,"알에프텍","IT 장비 및 소재","스마트폰 부품","코스닥",1
"A104620",104620,"노랑풍선","레저산업","여행","코스닥",1
"A011560",11560,"세보엠이씨","건설 및 건축자재","중견건설사","코스닥",1
"A264900",264900,"크라운제과","식음료 ","식료품","코스피",1
"A060240",60240,"룽투코리아","일반서비스","교육","코스닥",1
"A036810",36810,"에프에스티","반도체 관련장비 및 부품","반도체 부품","코스닥",1
"A066130",66130,"하츠","건설 및 건축자재","건축자재","코스닥",1
"A038880",38880,"아이에이","자동차 및 관련부품","전장부품","코스닥",1
"A102280",102280,"쌍방울","섬유 및 의류","의류","코스피",1
"A068790",68790,"DMS","디스플레이 장비 및 부품","디스플레이 장비","코스닥",1
"A130580",130580,"나이스디앤비","일반서비스","신용정보","코스닥",1
"A007980",7980,"태평양물산","섬유 및 의류","의류","코스피",1
"A073490",73490,"이노와이어리스","통신","통신장비","코스닥",1
"A024090",24090,"디씨엠","철강 및 비철강","강판","코스피",1
"A091580",91580,"상신이디피","IT 장비 및 소재","2차전지","코스닥",1
"A003160",3160,"디아이","반도체 관련장비 및 부품","반도체장비","코스피",1
"A065950",65950,"웰크론","섬유 및 의류","섬유","코스닥",1
"A086040",86040,"바이오톡스텍","제약 및 바이오","바이오","코스닥",1
"A010960",10960,"삼호개발","건설 및 건축자재","중견건설사","코스피",1
"A060230",60230,"이그잭스","IT 장비 및 소재","스마트폰 부품","코스닥",1
"A027740",27740,"마니커","식음료","식료품","코스피",1
"A009730",9730,"코센","철강 및 비철강","스테인리스","코스닥",1
"A003960",3960,"사조대림","식음료","식료품","코스피",1
"A008290",8290,"원풍물산","섬유 및 의류","의류","코스닥",1
"A101000",101000,"상상인인더스트리","조선","조선기자재","코스닥",1
"A263770",263770,"유에스티","철강 및 비철강","강관","코스닥",1
"A026180",26180,"현대정보기술","IT서비스","시스템서비스","코스닥",1
"A060560",60560,"홈센타홀딩스","건설 및 건축자재","시멘트 및 레미콘","코스닥",1
"A227610",227610,"아우딘퓨쳐스","가정용품","화장품","코스닥",1
"A042420",42420,"네오위즈홀딩스","미디어 및 엔터","게임","코스닥",1
"A018000",18000,"유니슨","에너지","풍력","코스닥",1
"A034590",34590,"인천도시가스","유틸리티","도시가스","코스피",1
"A001840",1840,"이화공영","건설 및 건축자재","중견건설사","코스닥",1
"A053690",53690,"한미글로벌","건설 및 건축자재","중견건설사","코스피",1
"A138580",138580,"비즈니스온","IT서비스","소프트웨어","코스닥",1
"A224060",224060,"코디엠","반도체 관련장비 및 부품","반도체장비","코스닥",1
"A108380",108380,"대양전기공업","조선","조선기자재","코스닥",1
"A004840",4840,"DRB동일","자동차 및 관련부품","기타 자동차부품","코스피",1
"A097230",97230,"한진중공업","조선","조선","코스피",1
"A005870",5870,"휴니드","기계","방위산업","코스피",1
"A089010",89010,"켐트로닉스","IT 장비 및 소재","스마트폰 부품","코스닥",1
"A032820",32820,"우리기술","기계","전력기자재","코스닥",1
"A046140",46140,"SBS콘텐츠허브","미디어 및 엔터","미디어","코스닥",1
"A001340",1340,"백광산업","화학","기타 화학","코스피",1
"A214330",214330,"금호에이치티","자동차 및 관련부품","기타 자동차부품","코스피",1
"A094280",94280,"효성ITX","IT서비스","컨택센터","코스피",1
"A013990",13990,"아가방컴퍼니","유아동산업","유아동산업","코스닥",1
"A140670",140670,"알에스오토메이션","기계","산업용 로봇","코스닥",1
"A014100",14100,"보령메디앙스","유아동산업","유아동산업","코스닥",1
"A021080",21080,"에이티넘인베스트","금융","기타 금융","코스닥",1
"A023760",23760,"한국캐피탈","금융","기타 금융","코스닥",1
"A052420",52420,"오성첨단소재","디스플레이 장비 및 부품","디스플레이 장비","코스닥",1
"A006910",6910,"보성파워텍","기계","전력기자재","코스닥",1
"A053350",53350,"이니텍","IT서비스","보안서비스","코스닥",1
"A014530",14530,"극동유화","석유 및 가스","윤활유","코스피",1
"A033100",33100,"제룡전기","기계","전력기자재","코스닥",1
"A103590",103590,"일진전기","전기 및 전자기기","케이블","코스피",1
"A073640",73640,"삼원테크","기계","중장비 및 관련품","코스닥",1
"A005710",5710,"대원산업","자동차 및 관련부품","차량 시트","코스닥",1
"A065510",65510,"휴비츠","의료기기 및 용품","의료기기","코스닥",1
"A263690",263690,"디알젬","의료기기 및 용품","의료기기","코스닥",1
"A002360",2360,"SH에너지화학","화학","합성수지","코스피",1
"A267790",267790,"배럴","섬유 및 의류","의류","코스닥",1
"A047820",47820,"초록뱀","미디어 및 엔터","미디어","코스닥",1
"A007330",7330,"푸른저축은행","금융","은행","코스닥",1
"A215790",215790,"이노인스트루먼트","통신","통신장비","코스닥",1
"A066620",66620,"국보디자인","건설 및 건축자재","중견건설사","코스닥",1
"A138360",138360,"에이씨티","가정용품","화장품","코스닥",1
"A041930",41930,"동아화성","자동차 및 관련부품","기타 자동차부품","코스닥",1
"A003480",3480,"한진중공업홀딩스","조선","조선","코스피",1
"A255220",255220,"SG","건설 및 건축자재","건축자재","코스닥",1
"A173940",173940,"에프엔씨엔터","미디어 및 엔터","매니지먼트","코스닥",1
"A078130",78130,"국일제지","종이 및 용기","종이","코스닥",1
"A002800",2800,"신신제약","제약 및 바이오","제약","코스닥",1
"A039340",39340,"한국경제TV","미디어 및 엔터","미디어","코스닥",1
"A257370",257370,"명성티엔에스","IT 장비 및 소재","2차전지","코스닥",1
"A038060",38060,"루멘스","전기 및 전자기기","LED","코스닥",1
"A118990",118990,"모트렉스","자동차 및 관련부품","기타 자동차부품","코스닥",1
"A160980",160980,"싸이맥스","반도체 관련장비 및 부품","반도체장비","코스닥",1
"A023000",23000,"삼원강재","자동차 및 관련부품","스프링","코스피",1
"A182360",182360,"큐브엔터","미디어 및 엔터","매니지먼트","코스닥",1
"A083310",83310,"엘오티베큠","반도체 관련장비 및 부품","클린룸","코스닥",1
"A131370",131370,"알서포트","IT서비스","소프트웨어","코스닥",1
